NAME,AC_NAME,CD_BLOCK,C11_CODE,T_Househol,T_Popu,M_Popu,F_Popu,T_0_6_Yrs,M_0_6_Yrs,F_0_6_Yrs,T_SC_Popu,M_SC_Popu,F_SC_Popu,T_ST_Popu,M_ST_Popu,F_ST_Popu,T_Literate,M_Literate,F_Literate,T_Illitera,M_Illitera,F_Illitera,T_Workers,M_Workers,F_Workers,T_Mn_Wkers,M_Mn_Wkers,F_Mn_Wkers,T_Mn_Culti,M_Mn_Culti,F_Mn_Culti,T_Mn_Agr_L,M_Mn_Agr_L,F_Mn_Agr_L,T_Mn_HH_IW,M_Mn_HH_IW,F_Mn_HH_IW,T_Mn_OWker,M_Mn_OWker,F_Mn_OWker,T_Mg_Wkers,M_Mg_Wkers,F_Mg_Wkers,T_Mg_Culti,M_Mg_Culti,F_Mg_Culti,T_Mg_A_Lab,M_Mg_A_Lab,F_Mg_A_Lab,T_Mg_HH_IW,M_Mg_HH_IW,F_Mg_HH_IW,T_Mg_O_W,M_Mg_O_W,F_Mg_O_W,T_Mg_W_3_6,M_Mg_W_3_6,F_Mg_W_3_6,T_Mg_C_3_6,M_Mg_C_3_6,F_Mg_C_3_6,T_Mg_AL3_6,M_Mg_AL3_6,F_Mg_AL3_6,T_Mg_HIW36,M_Mg_HIW36,F_Mg_HIW36,T_Mg_OW3_6,M_Mg_OW3_6,F_Mg_OW3_6,T_Mg_W_0_3,M_Mg_W_0_3,F_Mg_W_0_3,T_Mg_C_0_3,M_Mg_C_0_3,F_Mg_C_0_3,T_Mg_AL0_3,M_Mg_AL0_3,F_Mg_AL0_3,T_Mg_HIW03,M_Mg_HIW03,F_Mg_HIW03,T_Mg_OW0_3,M_Mg_OW0_3,F_Mg_OW0_3,T_NWkers_P,M_NWkers_P,F_NWkers_P
Khaikuna,Mawsynram,Mawsynram,278750,25,126,66,60,39,22,17,0,0,0,123,64,59,38,23,15,88,43,45,34,27,7,22,20,2,13,12,1,8,7,1,0,0,0,1,1,0,12,7,5,6,6,0,6,1,5,0,0,0,0,0,0,12,7,5,6,6,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,39,53
Sohlab,Shella,"Shella C & RD, Sohra",278864,73,415,225,190,78,42,36,7,7,0,377,190,187,261,152,109,154,73,81,156,113,43,155,113,42,0,0,0,0,0,0,0,0,0,155,113,42,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,259,112,147
Asimpara,Mawsynram,Mawsynram,278690,27,144,76,68,36,23,13,0,0,0,141,73,68,50,29,21,94,47,47,58,32,26,32,28,4,11,9,2,0,0,0,2,2,0,19,17,2,26,4,22,14,1,13,0,0,0,1,0,1,11,3,8,26,4,22,14,1,13,0,0,0,1,0,1,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,44,42
Jatap,Shella,"Shella C & RD, Sohra",278860,34,183,90,93,34,18,16,8,4,4,173,85,88,148,71,77,35,19,16,68,50,18,67,50,17,0,0,0,0,0,0,0,0,0,67,50,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,40,75
Purnanagar,Mawsynram,Mawsynram,278761,43,227,122,105,34,14,20,27,12,15,156,78,78,151,93,58,76,29,47,117,80,37,102,68,34,17,17,0,31,26,5,11,0,11,43,25,18,15,12,3,1,1,0,5,5,0,0,0,0,9,6,3,14,11,3,1,1,0,5,5,0,0,0,0,8,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,110,42,68
Khahmalai,Shella,"Shella C & RD, Sohra",278875,49,258,144,114,44,28,16,0,0,0,2,1,1,49,42,7,209,102,107,133,70,63,132,70,62,2,2,0,89,65,24,0,0,0,41,3,38,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,125,74,51
Tyllap,Shella,"Shella C & RD, Sohra",278900,57,230,122,108,52,28,24,26,17,9,159,80,79,77,45,32,153,77,76,79,56,23,26,21,5,0,0,0,4,3,1,0,0,0,22,18,4,53,35,18,0,0,0,5,3,2,1,0,1,47,32,15,31,24,7,0,0,0,2,2,0,1,0,1,28,22,6,22,11,11,0,0,0,3,1,2,0,0,0,19,10,9,151,66,85
Kamarphil,Mawsynram,Mawsynram,278732,61,302,152,150,66,29,37,10,4,6,228,120,108,125,69,56,177,83,94,90,73,17,56,49,7,12,12,0,5,5,0,2,2,0,37,30,7,34,24,10,2,0,2,1,1,0,1,1,0,30,22,8,29,24,5,2,0,2,1,1,0,1,1,0,25,22,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,212,79,133
Bordup,Mawsynram,Mawsynram,278738,49,268,147,121,34,14,20,0,0,0,196,104,92,183,116,67,85,31,54,133,82,51,116,67,49,25,24,1,37,22,15,0,0,0,54,21,33,17,15,2,0,0,0,14,14,0,0,0,0,3,1,2,17,15,2,0,0,0,14,14,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,65,70
Kalatek,Shella,"Shella C & RD, Sohra",278887,302,1769,899,870,383,186,197,1022,512,510,27,16,11,609,351,258,1160,548,612,675,425,250,358,328,30,107,104,3,110,93,17,1,0,1,140,131,9,317,97,220,27,10,17,22,6,16,28,4,24,240,77,163,306,96,210,25,10,15,21,6,15,27,4,23,233,76,157,11,1,1,2,0,2,1,0,1,1,0,1,7,1,6,1094,474,620
Umsaw,Shella,"Shella C & RD, Sohra",278130,138,773,400,373,193,111,82,0,0,0,770,398,372,412,202,210,361,198,163,328,161,167,322,159,163,274,126,148,3,2,1,1,1,0,44,30,14,6,2,4,1,1,0,0,0,0,0,0,0,5,1,4,6,2,4,1,1,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,239,206
Ichamati,Shella,"Shella C & RD, Sohra",278870,124,627,338,289,111,63,48,2,0,2,172,95,77,350,213,137,277,125,152,210,172,38,210,172,38,2,2,0,2,2,0,1,1,0,205,167,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,166,251
Saikarap,Shella,"Shella C & RD, Sohra",278859,60,262,148,114,57,30,27,0,0,0,247,133,114,193,113,80,69,35,34,152,97,55,148,95,53,15,12,3,50,47,3,2,0,2,81,36,45,4,2,2,1,0,1,2,2,0,0,0,0,1,0,1,4,2,2,1,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,51,59
Makhali,Mawsynram,Mawsynram,278741,57,308,159,149,86,45,41,0,0,0,285,145,140,66,35,31,242,124,118,93,67,26,67,62,5,12,12,0,2,1,1,2,2,0,51,47,4,26,5,21,9,3,6,3,0,3,0,0,0,14,2,12,25,4,21,8,2,6,3,0,3,0,0,0,14,2,12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,215,92,123
Khahmohi,Shella,"Shella C & RD, Sohra",278877,76,393,193,200,106,47,59,106,50,56,198,99,99,101,68,33,292,125,167,129,94,35,127,92,35,2,2,0,0,0,0,0,0,0,125,90,35,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,99,165
Kurikhar,Shella,"Shella C & RD, Sohra",278894,26,158,89,69,30,17,13,0,0,0,13,9,4,65,40,25,93,49,44,44,41,3,41,40,1,1,1,0,7,7,0,0,0,0,33,32,1,3,1,2,0,0,0,2,1,1,1,0,1,0,0,0,2,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,114,48,66
Dalia,Shella,"Shella C & RD, Sohra",278881,202,1093,534,559,212,99,113,0,0,0,1086,531,555,532,313,219,561,221,340,521,284,237,347,258,89,61,46,15,20,9,11,2,1,1,264,202,62,174,26,148,13,1,12,80,5,75,0,0,0,81,20,61,157,25,132,11,1,10,76,5,71,0,0,0,70,19,51,17,1,1,2,0,2,4,0,4,0,0,0,11,1,10,572,250,322
Umkhabaw,Shella,"Shella C & RD, Sohra",278884,242,1359,728,631,329,153,176,0,0,0,1256,660,596,545,363,182,814,365,449,511,363,148,440,335,105,102,61,41,112,63,49,0,0,0,226,211,15,71,28,43,5,3,2,6,0,6,5,3,2,55,22,33,65,28,37,5,3,2,4,0,4,5,3,2,51,22,29,6,0,0,0,0,0,2,0,2,0,0,0,4,0,4,848,365,483
Lummuri,Shella,"Shella C & RD, Sohra",278876,42,219,101,118,57,25,32,0,0,0,157,76,81,77,32,45,142,69,73,72,54,18,3,3,0,2,2,0,0,0,0,0,0,0,1,1,0,69,51,18,0,0,0,0,0,0,0,0,0,69,51,18,69,51,18,0,0,0,0,0,0,0,0,0,69,51,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,47,100
Sonatola,Mawsynram,Mawsynram,278731,106,632,332,300,129,67,62,0,0,0,0,0,0,215,142,73,417,190,227,212,174,38,63,56,7,4,3,1,0,0,0,1,1,0,58,52,6,149,118,31,17,15,2,3,3,0,6,4,2,123,96,27,149,118,31,17,15,2,3,3,0,6,4,2,123,96,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,158,262
Dholai Malai,Mawsynram,Mawsynram,278697,59,327,174,153,76,40,36,1,1,0,304,153,151,183,111,72,144,63,81,84,74,10,70,67,3,3,2,1,41,39,2,0,0,0,26,26,0,14,7,7,1,1,0,11,6,5,2,0,2,0,0,0,14,7,7,1,1,0,11,6,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,100,143
Nongkriah,Mawsynram,Mawsynram,278736,57,293,151,142,66,33,33,0,0,0,125,68,57,72,46,26,221,105,116,77,67,10,8,8,0,4,4,0,4,4,0,0,0,0,0,0,0,69,59,10,6,6,0,43,36,7,0,0,0,20,17,3,29,27,2,5,5,0,14,14,0,0,0,0,10,8,2,40,32,32,1,1,0,29,22,7,0,0,0,10,9,1,216,84,132
Umdud,Shella,"Shella C & RD, Sohra",278852,32,150,78,72,35,20,15,0,0,0,138,73,65,95,49,46,55,29,26,51,35,16,38,26,12,0,0,0,8,6,2,0,0,0,30,20,10,13,9,4,0,0,0,11,8,3,0,0,0,2,1,1,12,9,3,0,0,0,11,8,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,99,43,56
Chirrakata,Mawsynram,Mawsynram,278737,116,570,313,257,117,54,63,0,0,0,545,298,247,176,138,38,394,175,219,350,198,152,142,111,31,4,4,0,0,0,0,0,0,0,138,107,31,208,87,121,12,6,6,0,0,0,0,0,0,196,81,115,167,64,103,8,2,6,0,0,0,0,0,0,159,62,97,41,23,23,4,4,0,0,0,0,0,0,0,37,19,18,220,115,105
Dhorom,Shella,"Shella C & RD, Sohra",278889,127,681,350,331,122,66,56,0,0,0,189,98,91,418,230,188,263,120,143,217,169,48,160,129,31,4,4,0,28,26,2,4,2,2,124,97,27,57,40,17,1,1,0,14,9,5,1,1,0,41,29,12,50,35,15,1,1,0,11,7,4,1,1,0,37,26,11,7,5,5,0,0,0,3,2,1,0,0,0,4,3,1,464,181,283
Lumpukri,Shella,"Shella C & RD, Sohra",278867,9,52,28,24,5,2,3,0,0,0,8,4,4,24,15,9,28,13,15,29,16,13,27,16,11,0,0,0,15,15,0,0,0,0,12,1,11,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,11
Umdoh Mawpud,Shella,"Shella C & RD, Sohra",278863,46,266,127,139,56,26,30,5,3,2,259,123,136,171,90,81,95,37,58,83,57,26,80,54,26,1,1,0,0,0,0,0,0,0,79,53,26,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,70,113
Dopho (Inc. Weisuloi),Mawsynram,Mawsynram,278744,20,96,43,53,28,11,17,0,0,0,0,0,0,25,19,6,71,24,47,24,23,1,20,20,0,4,4,0,2,2,0,0,0,0,14,14,0,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,20,52
Pyrkan,Shella,"Shella C & RD, Sohra",278865,61,345,184,161,80,43,37,0,0,0,296,156,140,210,109,101,135,75,60,101,81,20,100,81,19,0,0,0,0,0,0,0,0,0,100,81,19,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,103,141
Thakur Naw,Mawsynram,Mawsynram,278760,30,162,79,83,40,20,20,0,0,0,162,79,83,73,38,35,89,41,48,37,29,8,4,3,1,2,2,0,0,0,0,0,0,0,2,1,1,33,26,7,4,3,1,5,5,0,0,0,0,24,18,6,18,15,3,3,2,1,3,3,0,0,0,0,12,10,2,15,11,11,1,1,0,2,2,0,0,0,0,12,8,4,125,50,75
Umsaw Maskon,Shella,"Shella C & RD, Sohra",278899,82,427,226,201,118,66,52,0,0,0,333,166,167,145,79,66,282,147,135,132,111,21,132,111,21,0,0,0,25,13,12,0,0,0,107,98,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,115,180
Tilagoan,Mawsynram,Mawsynram,278728,68,318,166,152,80,39,41,0,0,0,0,0,0,105,72,33,213,94,119,173,104,69,61,59,2,6,6,0,20,20,0,3,1,2,32,32,0,112,45,67,7,3,4,16,12,4,19,0,19,70,30,40,58,30,28,3,3,0,10,9,1,11,0,11,34,18,16,54,15,15,4,0,4,6,3,3,8,0,8,36,12,24,145,62,83
Khahkangi,Shella,"Shella C & RD, Sohra",278869,51,284,145,139,67,33,34,109,54,55,21,13,8,79,49,30,205,96,109,82,76,6,24,24,0,17,17,0,0,0,0,2,2,0,5,5,0,58,52,6,0,0,0,1,0,1,2,0,2,55,52,3,52,48,4,0,0,0,1,0,1,1,0,1,50,48,2,6,4,4,0,0,0,0,0,0,1,0,1,5,4,1,202,69,133
Chaklabasti,Shella,"Shella C & RD, Sohra",278895,41,262,134,128,52,21,31,0,0,0,0,0,0,136,78,58,126,56,70,81,80,1,50,49,1,15,15,0,0,0,0,0,0,0,35,34,1,31,31,0,1,1,0,0,0,0,0,0,0,30,30,0,28,28,0,1,1,0,0,0,0,0,0,0,27,27,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,0,181,54,127
Joiram,Mawsynram,Mawsynram,278698,55,284,142,142,60,25,35,0,0,0,283,142,141,104,56,48,180,86,94,134,74,60,28,16,12,4,4,0,0,0,0,1,1,0,23,11,12,106,58,48,4,3,1,2,1,1,0,0,0,100,54,46,105,58,47,3,3,0,2,1,1,0,0,0,100,54,46,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,150,68,82
Iapshynreh,Mawsynram,Mawsynram,278701,14,60,34,26,12,6,6,0,0,0,60,34,26,3,1,2,57,33,24,34,21,13,13,11,2,0,0,0,0,0,0,0,0,0,13,11,2,21,10,11,0,0,0,0,0,0,0,0,0,21,10,11,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,19,8,8,0,0,0,0,0,0,0,0,0,19,8,11,26,13,13
Lailad,Shella,"Shella C & RD, Sohra",278871,23,111,63,48,29,19,10,0,0,0,89,51,38,47,27,20,64,36,28,30,26,4,27,25,2,0,0,0,5,4,1,0,0,0,22,21,1,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,81,37,44
Umtynriew,Mawsynram,Mawsynram,278735,10,72,35,37,23,8,15,0,0,0,72,35,37,15,9,6,57,26,31,15,13,2,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,13,11,2,4,4,0,7,5,2,0,0,0,2,2,0,6,6,0,4,4,0,1,1,0,0,0,0,1,1,0,7,5,5,0,0,0,6,4,2,0,0,0,1,1,0,57,22,35
Pataghat,Mawsynram,Mawsynram,278752,92,501,240,261,100,43,57,181,90,91,263,122,141,213,122,91,288,118,170,238,120,118,109,91,18,20,19,1,61,48,13,1,0,1,27,24,3,129,29,100,15,5,10,98,18,80,4,1,3,12,5,7,128,29,99,15,5,10,97,18,79,4,1,3,12,5,7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,263,120,143
Dangardop,Mawsynram,Mawsynram,278727,49,272,141,131,46,25,21,0,0,0,271,140,131,138,81,57,134,60,74,49,41,8,49,41,8,1,0,1,0,0,0,0,0,0,48,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,100,123
Rajagoan,Mawsynram,Mawsynram,278733,33,165,93,72,33,18,15,1,1,0,155,87,68,31,19,12,134,74,60,76,40,36,34,26,8,0,0,0,6,6,0,6,0,6,22,20,2,42,14,28,1,1,0,6,4,2,22,2,20,13,7,6,41,14,27,1,1,0,6,4,2,22,2,20,12,7,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,89,53,36
Kharabri,Mawsynram,Mawsynram,278705,6,23,11,12,8,3,5,0,0,0,23,11,12,9,6,3,14,5,9,14,7,7,6,6,0,5,5,0,1,1,0,0,0,0,0,0,0,8,1,7,7,0,7,1,1,0,0,0,0,0,0,0,8,1,7,7,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5
Pisakuna,Mawsynram,Mawsynram,278726,32,132,67,65,13,7,6,0,0,0,132,67,65,28,11,17,104,56,48,85,50,35,22,16,6,4,4,0,4,3,1,1,0,1,13,9,4,63,34,29,0,0,0,18,13,5,3,0,3,42,21,21,27,20,7,0,0,0,8,8,0,2,0,2,17,12,5,36,14,14,0,0,0,10,5,5,1,0,1,25,9,16,47,17,30
Nayabasti,Shella,"Shella C & RD, Sohra",278896,137,680,365,315,103,59,44,0,0,0,358,199,159,303,183,120,377,182,195,210,174,36,148,132,16,23,20,3,2,1,1,0,0,0,123,111,12,62,42,20,4,3,1,1,0,1,2,2,0,55,37,18,31,15,16,1,1,0,1,0,1,2,2,0,27,12,15,31,27,27,3,2,1,0,0,0,0,0,0,28,25,3,470,191,279
Lympungsniang,Pynursla,Pynursla,278986,4,24,13,11,6,1,5,0,0,0,24,13,11,16,11,5,8,2,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,6,5,1,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,18,8,10
Rangamati,Shella,"Shella C & RD, Sohra",278892,17,92,48,44,25,13,12,6,2,4,80,41,39,40,28,12,52,20,32,29,23,6,12,12,0,1,1,0,3,3,0,0,0,0,8,8,0,17,11,6,1,1,0,8,5,3,1,0,1,7,5,2,17,11,6,1,1,0,8,5,3,1,0,1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,25,38
Lalpani,Mawsynram,Mawsynram,278730,77,431,235,196,70,43,27,28,15,13,226,116,110,198,120,78,233,115,118,78,67,11,77,66,11,1,1,0,0,0,0,0,0,0,76,65,11,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,168,185
Betgora,Mawsynram,Mawsynram,278758,50,299,166,133,70,33,37,2,2,0,268,135,133,112,81,31,187,85,102,99,95,4,67,66,1,12,12,0,20,20,0,0,0,0,35,34,1,32,29,3,17,17,0,15,12,3,0,0,0,0,0,0,32,29,3,17,17,0,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,71,129
Nongkyndah,Pynursla,Pynursla,279028,35,197,99,98,41,22,19,0,0,0,197,99,98,140,71,69,57,28,29,70,44,26,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,68,44,24,0,0,0,67,43,24,0,0,0,1,1,0,27,22,5,0,0,0,27,22,5,0,0,0,0,0,0,41,22,22,0,0,0,40,21,19,0,0,0,1,1,0,127,55,72
Weisohpieng,Mawsynram,Mawsynram,278670,50,291,150,141,70,36,34,0,0,0,285,146,139,95,56,39,196,94,102,121,62,59,56,50,6,28,26,2,23,20,3,0,0,0,5,4,1,65,12,53,13,1,12,48,11,37,2,0,2,2,0,2,65,12,53,13,1,12,48,11,37,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,88,82
Pyrdiwah,Pynursla,Pynursla,279053,89,516,294,222,96,50,46,0,0,0,198,97,101,283,193,90,233,101,132,302,207,95,271,196,75,7,4,3,54,35,19,1,0,1,209,157,52,31,11,20,4,0,4,2,2,0,0,0,0,25,9,16,16,8,8,0,0,0,1,1,0,0,0,0,15,7,8,15,3,3,4,0,4,1,1,0,0,0,0,10,2,8,214,87,127
Mynrieng,Pynursla,Pynursla,278927,61,252,132,120,48,25,23,0,0,0,252,132,120,107,58,49,145,74,71,135,75,60,128,71,57,29,23,6,46,10,36,0,0,0,53,38,15,7,4,3,1,0,1,1,0,1,0,0,0,5,4,1,4,2,2,1,0,1,0,0,0,0,0,0,3,2,1,3,2,2,0,0,0,1,0,1,0,0,0,2,2,0,117,57,60
Ryngku Bazar,Mawsynram,Mawsynram,278687,151,789,411,378,164,82,82,6,4,2,689,355,334,210,128,82,579,283,296,374,198,176,73,62,11,26,26,0,0,0,0,0,0,0,47,36,11,301,136,165,6,5,1,295,131,164,0,0,0,0,0,0,301,136,165,6,5,1,295,131,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,213,202
Dhorombasti,Shella,"Shella C & RD, Sohra",278897,130,679,353,326,113,57,56,0,0,0,58,32,26,227,117,110,452,236,216,188,169,19,122,113,9,14,13,1,5,4,1,3,2,1,100,94,6,66,56,10,0,0,0,5,4,1,1,0,1,60,52,8,63,55,8,0,0,0,5,4,1,0,0,0,58,51,7,3,1,1,0,0,0,0,0,0,1,0,1,2,1,1,491,184,307
Sohktieh,Mawsynram,Mawsynram,278747,1,5,2,3,0,0,0,0,0,0,5,2,3,0,0,0,5,2,3,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Terajamra,Mawsynram,Mawsynram,278707,37,203,100,103,38,17,21,10,5,5,192,94,98,93,51,42,110,49,61,85,40,45,27,15,12,1,1,0,0,0,0,1,1,0,25,13,12,58,25,33,3,1,2,1,0,1,0,0,0,54,24,30,57,25,32,3,1,2,1,0,1,0,0,0,53,24,29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,118,60,58
Pyndenborsora,Mawsynram,Mawsynram,278729,93,511,266,245,88,52,36,6,4,2,312,160,152,240,130,110,271,136,135,271,140,131,53,50,3,11,11,0,18,17,1,1,0,1,23,22,1,218,90,128,12,7,5,25,16,9,5,2,3,176,65,111,97,47,50,7,6,1,14,12,2,2,1,1,74,28,46,121,43,43,5,1,4,11,4,7,3,1,2,102,37,65,240,126,114
Hurupukni,Mawsynram,Mawsynram,278724,41,231,122,109,51,29,22,0,0,0,224,118,106,117,67,50,114,55,59,70,44,26,39,36,3,4,4,0,33,31,2,0,0,0,2,1,1,31,8,23,5,0,5,24,6,18,0,0,0,2,2,0,22,4,18,5,0,5,17,4,13,0,0,0,0,0,0,9,4,4,0,0,0,7,2,5,0,0,0,2,2,0,161,78,83
Kongwang,Pynursla,Pynursla,279055,92,527,266,261,101,52,49,1,1,0,524,264,260,378,190,188,149,76,73,243,131,112,121,93,28,50,39,11,34,23,11,0,0,0,37,31,6,122,38,84,47,17,30,61,14,47,1,0,1,13,7,6,64,21,43,26,11,15,31,6,25,0,0,0,7,4,3,58,17,17,21,6,15,30,8,22,1,0,1,6,3,3,284,135,149
Mawbang,Shella,"Shella C & RD, Sohra",278893,99,483,247,236,106,52,54,262,131,131,111,52,59,196,113,83,287,134,153,159,125,34,20,18,2,1,1,0,5,5,0,0,0,0,14,12,2,139,107,32,0,0,0,27,24,3,7,1,6,105,82,23,105,90,15,0,0,0,25,22,3,1,0,1,79,68,11,34,17,17,0,0,0,2,2,0,6,1,5,26,14,12,324,122,202
Old Komorah,Shella,"Shella C & RD, Sohra",278850,1,5,1,4,3,0,3,0,0,0,5,1,4,1,1,0,4,0,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
Iarbamon,Pynursla,Pynursla,279045,19,142,65,77,36,13,23,0,0,0,142,65,77,91,46,45,51,19,32,29,20,9,28,19,9,0,0,0,20,16,4,1,0,1,7,3,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,45,68
Nongkhaiwui,Pynursla,Pynursla,279029,8,25,12,13,8,3,5,0,0,0,25,12,13,13,7,6,12,5,7,12,8,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11,7,4,0,0,0,11,7,4,0,0,0,0,0,0,9,7,2,0,0,0,9,7,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,13,4,9
Delsora,Mawsynram,Mawsynram,278749,87,431,208,223,109,48,61,0,0,0,360,171,189,165,99,66,266,109,157,218,113,105,115,108,7,46,43,3,18,16,2,1,1,0,50,48,2,103,5,98,52,2,50,20,1,19,0,0,0,31,2,29,96,2,94,48,1,47,18,0,18,0,0,0,30,1,29,7,3,3,4,1,3,2,1,1,0,0,0,1,1,0,213,95,118
Lumwahnai,Pynursla,Pynursla,279012,68,348,171,177,75,38,37,0,0,0,345,169,176,222,111,111,126,60,66,131,83,48,105,65,40,1,1,0,97,61,36,0,0,0,7,3,4,26,18,8,0,0,0,26,18,8,0,0,0,0,0,0,26,18,8,0,0,0,26,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,88,129
Khahumrin,Shella,"Shella C & RD, Sohra",278858,174,824,433,391,210,117,93,0,0,0,606,320,286,111,66,45,713,367,346,248,211,37,245,210,35,0,0,0,3,3,0,0,0,0,242,207,35,3,1,2,1,0,1,0,0,0,0,0,0,2,1,1,3,1,2,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,222,354
