NAME,AC_NAME,CD_BLOCK,C11_CODE,T_Househol,T_Popu,M_Popu,F_Popu,T_0_6_Yrs,M_0_6_Yrs,F_0_6_Yrs,T_SC_Popu,M_SC_Popu,F_SC_Popu,T_ST_Popu,M_ST_Popu,F_ST_Popu,T_Literate,M_Literate,F_Literate,T_Illitera,M_Illitera,F_Illitera,T_Workers,M_Workers,F_Workers,T_Mn_Wkers,M_Mn_Wkers,F_Mn_Wkers,T_Mn_Culti,M_Mn_Culti,F_Mn_Culti,T_Mn_Agr_L,M_Mn_Agr_L,F_Mn_Agr_L,T_Mn_HH_IW,M_Mn_HH_IW,F_Mn_HH_IW,T_Mn_OWker,M_Mn_OWker,F_Mn_OWker,T_Mg_Wkers,M_Mg_Wkers,F_Mg_Wkers,T_Mg_Culti,M_Mg_Culti,F_Mg_Culti,T_Mg_A_Lab,M_Mg_A_Lab,F_Mg_A_Lab,T_Mg_HH_IW,M_Mg_HH_IW,F_Mg_HH_IW,T_Mg_O_W,M_Mg_O_W,F_Mg_O_W,T_Mg_W_3_6,M_Mg_W_3_6,F_Mg_W_3_6,T_Mg_C_3_6,M_Mg_C_3_6,F_Mg_C_3_6,T_Mg_AL3_6,M_Mg_AL3_6,F_Mg_AL3_6,T_Mg_HIW36,M_Mg_HIW36,F_Mg_HIW36,T_Mg_OW3_6,M_Mg_OW3_6,F_Mg_OW3_6,T_Mg_W_0_3,M_Mg_W_0_3,F_Mg_W_0_3,T_Mg_C_0_3,M_Mg_C_0_3,F_Mg_C_0_3,T_Mg_AL0_3,M_Mg_AL0_3,F_Mg_AL0_3,T_Mg_HIW03,M_Mg_HIW03,F_Mg_HIW03,T_Mg_OW0_3,M_Mg_OW0_3,F_Mg_OW0_3,T_NWkers_P,M_NWkers_P,F_NWkers_P
Nongplit,Mawryngkneng,Mawryngkneng,278415,41,177,85,92,46,24,22,0,0,0,177,85,92,47,22,25,130,63,67,85,47,38,85,47,38,21,12,9,63,34,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,38,54
Rynli,Sohiong,Mawphlang,278116,61,383,201,182,77,40,37,0,0,0,383,201,182,224,113,111,159,88,71,171,87,84,169,85,84,155,77,78,0,0,0,0,0,0,14,8,6,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,212,114,98
Nongbsap,Sohiong,Mawphlang,278118,95,449,218,231,116,59,57,0,0,0,445,218,227,274,122,152,175,96,79,210,94,116,194,90,104,190,87,103,0,0,0,0,0,0,4,3,1,16,4,12,7,2,5,1,0,1,0,0,0,8,2,6,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,13,3,3,7,2,5,1,0,1,0,0,0,5,1,4,239,124,115
Kynroh,Sohiong,Mawphlang,278075,116,619,309,310,166,93,73,0,0,0,618,308,310,227,109,118,392,200,192,305,142,163,297,139,158,291,135,156,0,0,0,2,2,0,4,2,2,8,3,5,1,1,0,4,1,3,1,1,0,2,0,2,6,2,4,1,1,0,3,1,2,0,0,0,2,0,2,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,314,167,147
Mawryngkneng Gate,Mawryngkneng,Mawryngkneng,278380,1164,6598,3363,3235,1306,690,616,28,20,8,6518,3309,3209,4225,2029,2196,2373,1334,1039,2282,1668,614,2114,1585,529,780,639,141,533,435,98,8,6,2,793,505,288,168,83,85,19,5,14,99,59,40,0,0,0,50,19,31,145,77,68,13,4,9,89,55,34,0,0,0,43,18,25,23,6,6,6,1,5,10,4,6,0,0,0,7,1,6,4316,1695,2621
Lawsohtun,Mylliem,Mylliem,278362,1623,8214,4262,3952,1018,554,464,29,16,13,6355,3099,3256,6648,3488,3160,1566,774,792,3035,2076,959,2898,2004,894,188,127,61,19,10,9,13,12,1,2678,1855,823,137,72,65,13,8,5,1,1,0,0,0,0,123,63,60,120,64,56,12,7,5,0,0,0,0,0,0,108,57,51,17,8,8,1,1,0,1,1,0,0,0,0,15,6,9,5179,2186,2993
Mawklot,Mylliem,Mylliem,278303,346,1821,877,944,306,160,146,0,0,0,1795,861,934,1242,586,656,579,291,288,592,380,212,574,379,195,76,35,41,96,50,46,13,9,4,389,285,104,18,1,17,2,0,2,6,1,5,0,0,0,10,0,10,18,1,17,2,0,2,6,1,5,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,497,732
Sohksar,Sohiong,Mawphlang,278076,52,330,159,171,95,47,48,0,0,0,330,159,171,202,96,106,128,63,65,119,57,62,116,54,62,114,53,61,0,0,0,1,1,0,1,0,1,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,102,109
Krang,Sohiong,Mawphlang,278085,81,426,226,200,94,49,45,0,0,0,425,225,200,272,147,125,154,79,75,166,91,75,160,88,72,135,73,62,0,0,0,0,0,0,25,15,10,6,3,3,5,2,3,0,0,0,1,1,0,0,0,0,6,3,3,5,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,135,125
Mawlaiteng,Sohiong,Mawphlang,278082,63,387,194,193,91,51,40,0,0,0,383,192,191,255,121,134,132,73,59,172,74,98,171,74,97,150,65,85,3,2,1,2,0,2,16,7,9,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,120,95
